codigo_inep,unidade,INSE_2023,PPI_2023,PPI_2025,nao_decl_2025,AFD_2025,IED_N5_6_2025,IRD_2025,ICG_2025,ATU_2025,HAD_5ano_2025,TDI_2025,aprov_2025,TI_2025,infra_0_8,acess_0_8,dispositivos,matriculas_EE_2025,Ideb_2025,IEE_2025,part_SARESP_2025
35295061,"CEIEF Arlindo de Salvo, Prof.",5.39,34.9,34.9,6.2,83.8,0,2.85,3,22.7,5.4,0.2,100,11.3,7,2,56,35,7.7,7.09,93.1
35217888,"CEIEF Deovaldo Teixeira de Carvalho, Prof.",5.23,23,29.7,1,100,0,2.19,2,18.4,7,1.1,100,38,6,0,39,10,7.4,6.94,93.8
35208401,"CEIEF Flora de Castro Rodrigues, Profa.",5.75,19.7,19.5,0,77.7,0,2.1,3,23.6,5.6,0.8,100,2.7,8,1,49,21,8.2,7.51,89.1
35349161,"CEIEF Jamile Caram de Souza Dias, Profa.",5.61,16.1,20.3,11.6,85.7,0,2.91,3,22.8,5,0,100,13.9,7,3,59,33,7.4,7.43,94.6
35660103,"CEIEF Maria Paulina Rodrigues Provinciatto, Profa.",5.12,38,40.4,8,93.9,0,2.94,3,24,5.3,0.9,99.4,0,6,2,53,16,7.4,7.62,96.8
35276224,"CEIEF Mario Covas, Governador",5.11,36.1,43.2,11.7,49.6,0,3.13,5,22.7,5.2,2.3,97.9,7.9,8,2,58,29,,6.17,92.4
35470600,CEIEF Rafael Affonso Leite,5.51,19.7,29.7,5.5,86.4,0,2.34,3,26.3,5.2,1.5,100,18.5,8,3,74,43,7.9,7.74,96.1
35082569,"EMEIEF Aldo José Kuhl, Prof.",5.61,19.7,24.9,9.7,97.3,5,2.71,3,23.6,5.9,1.9,100,17.3,5,4,76,35,7.1,7.52,95.3
35656823,EMEIEF Alfredo Christiano Stahlberg (Rural),5.54,25,20.3,19.2,88.6,0,3.64,2,16.4,5.5,0,100,17.1,4,1,42,3,7.2,7.53,94.1
35217852,EMEIEF Aracy Nogueira Guimarães,5.28,46.4,45.7,1,91.4,2.3,2.42,1,25.6,8.5,1.2,100,100,5,0,85,29,6.7,6.78,79
35217864,"EMEIEF Ary Gomes de Castro, Tenente Aviador",5.66,30,30.4,20,90.5,0,3.13,2,19,8.1,1.8,100,96.4,4,0,64,6,,6.42,95.7
35080640,"EMEIEF Benedicta de Toledo, Profa.",5.29,24.4,32.3,15,88.3,0,1.97,3,20,5.7,2.3,100,42.7,8,2,19,15,7.4,7.42,95.1
35208413,"EMEIEF Cassiana Maria Soares Lenci, Profa.",5.42,35.9,34.4,0.6,83.9,5.9,3.33,3,20.9,5.5,0.9,100,27.4,7,3,44,16,7.2,7.23,87.8
35217876,"EMEIEF Clara Monzoni Lang, Profa.",5.56,22.9,27.6,18.1,100,0,1.92,2,18.8,5,2.4,100,0,6,3,54,16,7.5,7.42,96.4
35208395,"EMEIEF Creso Assumpção Coimbra, Prof.",5.97,17.9,16.5,0,100,7.7,2.79,2,22.4,5,0.4,100,0,4,0,45,8,7.5,7.18,95.7
35241878,"EMEIEF Egle Maria Ciarrochi, Profa.",5.53,29.4,31.3,10.3,94,0,2.76,3,25.4,5.3,1,100,0,3,2,45,19,7.9,8.22,80.4
35128016,"EMEIEF Evangelina Mauro, Profa.",5.38,36.5,40.3,14.1,91.3,2.8,1.87,1,22.4,8,1.3,100,100,7,3,51,32,6.4,6.35,94.6
35208437,"EMEIEF Ismael Pereira Lago, Pastor",5.36,23.3,24.5,18.7,92.9,4.8,2.95,3,23.9,5.3,0.8,100,0,7,5,50,29,6.9,7.01,96.2
35278324,"EMEIEF José Carvalho Ferreira, Dr.",5.51,25.4,29.2,0,100,0,2.54,2,24.9,5.2,0.6,99.7,15.5,8,2,34,13,7.1,6.89,93.6
35249841,"EMEIEF José Justino Castilho, Prof.",5.39,36.5,39.2,16.3,85.7,4,2.55,3,22,5.9,1,100,18.7,8,5,52,39,6.9,7.06,94.2
35217924,"EMEIEF José Levy Sobrinho, Major",5.76,19.6,21.9,5,86.9,5.9,2.8,3,26.8,5.2,0.5,100,9.2,8,5,59,45,7.4,7.32,84.5
35074962,"EMEIEF José Paulino Araújo Vargas, Prof.",5.27,32.8,39.5,8.3,96.3,0,2.23,3,22,5.6,0,100,14.9,8,2,43,17,6.9,6.67,96.4
35218017,"EMEIEF José Roberto Braz, Prof.",5.37,30.9,27.1,13.4,76.8,8.3,2.24,2,23.9,5,1.6,100,0,6,1,70,11,7.1,6.74,96.6
35217897,"EMEIEF Laércio Corte, Deputado",5.19,28.3,30.9,12.1,88.1,0,2.47,4,21.5,5.7,0.4,100,0.4,7,2,23,7,7.1,6.85,73.9
35222112,EMEIEF Limeira,5.72,19.1,20.9,25.4,91.4,4.8,2.25,3,23.2,5.4,2.5,99.7,14.8,8,1,58,18,7.4,7.35,92.3
35270830,"EMEIEF Márcia Aparecida Della Coletta Sillmann, Profa.",4.87,36.1,39.4,7.6,84.6,0,2.01,1,23.6,9.5,0,100,100,4,0,47,31,7.1,7,95.3
35222094,"EMEIEF Maria Aparecida de Luca Moore, Profa.",5.44,40.7,44.5,4.3,87.9,0,3.15,6,25,8.3,0.4,99.7,100,8,1,156,47,7.2,7.28,81.7
35233122,"EMEIEF Maria Aparecida Degaspare, Profa.",5.51,25.8,23.6,4.7,86.7,0,3.05,3,25.6,5.3,0.6,100,17.3,6,1,58,19,7.9,7.45,94.9
35068299,EMEIEF Maria Aparecida Machado Julianelli,5.19,38.1,46.2,2.4,88.9,2.3,2.43,1,23.1,8.8,0.7,100,100,8,2,40,19,6.1,6.48,92.5
35246086,"EMEIEF Maria Madalena Vasconcellos da Silva, Profa.",5.35,32.4,34.6,5.9,92.2,0,3.43,3,23.6,5.2,0.8,99.8,0.2,7,2,51,29,7.1,6.75,93.5
35217906,EMEIEF Maria Thereza Silveira de Barros Camargo,5.3,32,30.2,14.4,87.9,5.6,2.49,1,25.8,9,1.5,100,100,7,2,51,14,7.1,6.73,96.2
35217918,EMEIEF Mario de Souza Queiroz Filho,4.9,32.2,34.1,8.8,92.9,0,2.08,2,22.8,6.1,2.2,100,13.2,6,0,51,11,7.2,6.98,85.7
35217992,EMEIEF Martim Lutero (Rural),6.19,17.5,20.7,3.9,81,0,2.17,2,23,5.3,1.7,100,15.7,6,4,37,10,7.6,7.33,100
35286229,"EMEIEF Maurício Sebastião Ferreira, Padre",5.41,27.3,32.1,27.2,82.9,4.3,2.23,3,22.9,5.3,2,100,19.5,8,1,28,30,6.2,6.95,92.4
35083690,"EMEIEF Mauro Sérgio Vieira, Vereador",5.71,20.4,23,15.1,85.7,0,3.16,2,25.6,5.5,1.4,100,5.9,5,1,51,24,7.2,7.07,97.6
35415613,"EMEIEF Nestor Martins Lino, Prof.",5.09,26.2,29.3,22.6,86.7,0,3.53,3,22.3,6.9,1.3,99.4,24.4,6,0,24,20,6.6,7.22,89.4
35222100,"EMEIEF Noedir Tadeu Santini, Prof.",5.45,26.9,35.9,12.9,88.2,0,3.02,2,18.3,5.5,0.5,99.4,0,7,3,46,11,6.3,6.23,94.6
35248514,EMEIEF Prada,5.65,18.6,24.3,4.4,84.9,0,2.47,3,23.8,5.6,1.4,100,22.5,6,3,58,25,7.6,7.49,84.3
35004773,"EMEIEF Raquel Aparecida Gonçalves Franceschi, Profa.",5.03,33.5,41.9,0.2,76.4,0,2.22,3,21.9,5.6,1.2,100,22.3,7,3,48,29,6.5,6.97,93.1
35243620,"EMEIEF Waldemar Lucato, Dr.",5.58,31.5,31,16.7,88.4,0,3.46,3,25.7,5,0.8,100,11.1,7,1,47,37,7.1,6.94,88.2
