Ano,Ideb,Ideb LP,Ideb MAT,DSU %,TNR %,Aprovação %,Reprovação %,Abandono %,Saeb LP — micro,Saeb MAT — micro,SARESP A+A LP %,SARESP A+A MAT %,Remuneração média bruta,Remuneração 40h,SIOPE MDE %,SIOPE FUNDEB remuneração %,SARESP média oficial LP,SARESP média oficial MAT,SARESP média simples escolas LP,SARESP média simples escolas MAT
2007,5.1,183.79,203.46,,,97.6,2.3,0.1,,,,,,,0,0,,,,
2008,,,,,,97.6,2.4,0,,,,,,,28.53,76.6,,,,
2009,5.7,197.11,222.87,,,97.2,2.7,0.1,196.55,221.91,,,,,27.05,72.31,,,,
2010,,,,,,97.8,2,0.2,,,,,,,29.52,73.17,,,,
2011,5.5,191.97,216.08,87.7,1.1,97.8,2,0.2,191.9738,216.0841,,,,,30.25,71.27,,,191.5944444444444,206.06111111111107
2012,,,,90.3,0.4,96.4,3.4,0.2,,,,,,,29.98,72.23,,,194.32162162162157,204.54864864864862
2013,5.7,200.22,223.18,88.1,0.4,97.1,2.7,0.2,200.2336,223.0569,,,,,31.87,93.88,,,192.4162162162162,203.3594594594595
2014,,,,91.1,0.4,96.6,3.3,0.1,,,,,2981.767,4100.92,29.81,100,,,197.34444444444443,207.59722222222223
2015,6.4,221.68,239.52,90.5,0.4,97.6,2.3,0.1,221.6768,239.5173,,,3149.74,4077.191,30.03,100,,,207.3764705882353,217.0058823529412
2016,,,,93.4,0.6,98,1.9,0.1,,,,,3370.865,4559.83,31.52,100,,,217.11891891891892,220.82432432432432
2017,6.9,237.02,250.46,91.5,2.5,97.8,2.1,0.1,236.995,250.4708,,,3664.411,4949.685,30.36,100,,,,
2018,,,,91.2,1.3,98.6,1.3,0.1,,,,,3536.652,4513.025,25.3,99.83,,,220.94736842105263,229.0026315789474
2019,7.3,241.45,263.14,95.3,1.8,99.2,0.8,0,241.5021,263.0725,,,3412.931,4208.185,26.3,96.27,,,,
2020,,,,97.6,0.5,99.9,0.1,0,,,,,3884.58,5162.786,26.57,91.98,,,,
2021,6.8,229.04,244.22,97,0.9,100,0,0,229.0985,244.4291,,,3291.904,3949.245,21.89,73.54,,,,
2022,,,,96.8,0.5,99.6,0.3,0.1,,,59.2469,49.7908,,,29.28,100,210,222.9,209.10256410256412,222.20512820512815
2023,7,233.93,251.34,94.5,0.4,99.6,0.3,0.1,234.0309,251.4077,63.6884,56.0739,,,30.33,100,214.6,231.8,215.52249999999998,232.2874999999999
2024,,,,95.3,0.3,99.7,0.2,0.1,,,67.9875,59.0383,,,29.87,99.81,220.9,234.8,220.05499999999998,234.22999999999996
2025,7.1,236.43,254.45,96.2,0.6,99.9,0.1,0,,,65.5694,60.5872,,,28.48,99.47,219,240,219.40499999999997,240.60999999999996
