codigo_inep,unidade,sme_current_street,sme_current_number,cnefe_cod_unico_endereco,cnefe_cod_setor,cnefe_localidade,cnefe_street,cnefe_number,cnefe_establishment,latitude,longitude,match_strength,identity_status
35208395,"EMEIEF Creso Assumpção Coimbra, Prof.",HENRIQUE JACOBS,275,53563154,352690205000182P,PARQUE EGISTO RAGAZZO,HENRIQUE JACOBS,275,EMEIEF PROF CRESO ASSUMPCAO COIMBRA,-22.534026,-47.391675,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35217852,EMEIEF Aracy Nogueira Guimarães,ANTONIO DE LUNA,1465,224491292,352690205000269P,PARQUE RESIDENCIAL AEROPORTO,ANTONIO DE LUNA,1465,EMEIF ARACY NOGUEIRA GUIMARAES,-22.611937,-47.412641,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35217897,"EMEIEF Laércio Corte, Deputado",PEDRO ELIAS,1203,53554121,352690205000144P,JARDIM VISTA ALEGRE,PEDRO ELIAS,1203,E M E I E F DEP LAERCIO CORTE,-22.578380,-47.375600,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35217906,EMEIEF Maria Thereza Silveira de Barros Camargo,LARANJEIRAS,1149,53499451,352690205000563P,JARDIM HORTENCIA,LARANJEIRAS,1149,EMEIF MARIA TEREZA SILVEIRA DE BARROS CAMARGO,-22.549432,-47.390628,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35217918,EMEIEF Mario de Souza Queiroz Filho,PEDRO ELIAS,271,53555611,352690205000150P,SAO LUIZ,PEDRO ELIAS,271,MARIO SOUZA QUEIROZ FILHO,-22.580574,-47.384391,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35222112,EMEIEF Limeira,JOSE BOTELHO VELOSO,300,52507572,352690205000019P,VILA SAO JOAO,JOSE BOTELHO VELOSO,300,EMEIEF LIMEIRA,-22.564363,-47.413801,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35233122,"EMEIEF Maria Aparecida Degaspare, Profa.",DORIVAL FAVERI,105,53735378,352690205000278P,JARDIM DO LAGO,DORIVAL FAVERI,105,EMEIF MARIA DE DEGASPARE,-22.604059,-47.421068,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35241878,"EMEIEF Egle Maria Ciarrochi, Profa.",ACELINO COSTA TANK,231,53736643,352690205000282P,JARDIM OURO VERDE,ACELINO COSTA TANK,231,ESCOLA MUNICIPAL EGLE MARIA CIARROQUE,-22.584343,-47.417500,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35243620,"EMEIEF Waldemar Lucato, Dr.",JOSE ALBERTO CAMPANINI,675,201781179,352690205000439P,GRAMINHA,JOSE ALBERTO CAMPANINI,675,EMEIEF DR WALDEMAR LUCATO,-22.594656,-47.422821,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35246086,"EMEIEF Maria Madalena Vasconcellos da Silva, Profa.",YOLANDA BARALDI DA SILVA,80,107663455,352690205000839P,JARDIM CAMPO BELO,YOLANDA BARALDI DA SILVA,80,EMEIEF PRIFESSORA MARIA MADALENA V DA SI,-22.601072,-47.394081,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35248514,EMEIEF Prada,ALBERTO FERREIRA,320,52505282,352690205000011P,CENTRO,ALBERTO FERREIRA,320,EMEIEF PRADA,-22.571259,-47.409624,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35249841,"EMEIEF José Justino Castilho, Prof.",YOLANDA STOCCO PAGOTTO,45,53799336,352690205000423P,PARQUE RESIDENCIAL SANTA EULALIA,YOLANDA STOCCO PAGOTTO,45,E M E I E F PROF JOSE JUSTINO CASTILHO,-22.602459,-47.405974,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35278324,"EMEIEF José Carvalho Ferreira, Dr.",MARIA APARECIDA MORAES SOARES,330,53622912,352690205000541P,IPIRANGA,MARIA APARECIDA MORAES SOARES,330,ESCOLA DR JOSE C FERREIRA,-22.588151,-47.398588,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
35660103,"CEIEF Maria Paulina Rodrigues Provinciatto, Profa.",NELSON FERRAZ DA SILVA,55,53617527,352690205000218P,JARDIM NOVO HORIZONTE,NELSON FERRAZ DA SILVA,55,ESCOLA CEIEF PROF MARIA PAULINA RODRIGUES PROVINCIATTO EM GERAL E ETC,-22.589067,-47.373891,STRONG_EXACT_STREET_NUMBER_PLUS_COMPATIBLE_SCHOOL_DESCRIPTION,PROVEN_SEED
