codigo_inep,unidade,ibge_sector_code_2022,sector_population_2022,responsible_income_mean_nominal_monthly_brl,responsible_income_median_nominal_monthly_brl,V06004_sector_percentile_unweighted
35208395,"EMEIEF Creso Assumpção Coimbra, Prof.",352690205000182,473.0,2589.96,2000.0,40.5
35217852,EMEIEF Aracy Nogueira Guimarães,352690205000269,643.0,2803.14,2500.0,49.4
35217897,"EMEIEF Laércio Corte, Deputado",352690205000144,446.0,2115.83,2000.0,17.5
35217906,EMEIEF Maria Thereza Silveira de Barros Camargo,352690205000563,344.0,2836.03,2200.0,51.0
35217918,EMEIEF Mario de Souza Queiroz Filho,352690205000150,526.0,1877.15,1300.0,9.1
35222112,EMEIEF Limeira,352690205000019,209.0,3648.2,3000.0,75.6
35233122,"EMEIEF Maria Aparecida Degaspare, Profa.",352690205000278,373.0,2285.42,1850.0,25.8
35241878,"EMEIEF Egle Maria Ciarrochi, Profa.",352690205000282,524.0,3053.71,2000.0,59.6
35243620,"EMEIEF Waldemar Lucato, Dr.",352690205000439,395.0,2726.96,2000.0,46.7
35246086,"EMEIEF Maria Madalena Vasconcellos da Silva, Profa.",352690205000839,553.0,2905.06,2350.0,53.8
35248514,EMEIEF Prada,352690205000011,210.0,6944.33,5000.0,93.5
35249841,"EMEIEF José Justino Castilho, Prof.",352690205000423,567.0,2344.26,2000.0,29.2
35278324,"EMEIEF José Carvalho Ferreira, Dr.",352690205000541,326.0,2121.94,1550.0,18.2
35660103,"CEIEF Maria Paulina Rodrigues Provinciatto, Profa.",352690205000218,573.0,1836.21,1670.0,7.5
