codigo_inep,unidade,ibge_sector_code_2022,sector_population_2022,responsible_income_mean_nominal_monthly_brl,responsible_income_median_nominal_monthly_brl,V06004_sector_percentile_unweighted,match_tier,match_method
35295061,"CEIEF Arlindo de Salvo, Prof.",352690205000638,510,3083.96,2500,60.7,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35217888,"CEIEF Deovaldo Teixeira de Carvalho, Prof.",352690205000458,71,3384.83,3000,70.1,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35208401,"CEIEF Flora de Castro Rodrigues, Profa.",352690205000008,206,5796.24,5000,90.5,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35349161,"CEIEF Jamile Caram de Souza Dias, Profa.",352690205000454,511,3568.67,3000,74.0,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35660103,"CEIEF Maria Paulina Rodrigues Provinciatto, Profa.",352690205000218,573,1836.21,1670,7.5,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35276224,"CEIEF Mario Covas, Governador",352690205000751,478,1847.56,1500,8.2,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35082569,"EMEIEF Aldo José Kuhl, Prof.",352690205000177,438,2438.62,2000,33.8,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35217852,EMEIEF Aracy Nogueira Guimarães,352690205000269,643,2803.14,2500,49.4,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35080640,"EMEIEF Benedicta de Toledo, Profa.",352690205000715,348,2330.82,2000,28.3,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35208413,"EMEIEF Cassiana Maria Soares Lenci, Profa.",352690205000712,465,2028.88,1800,14.6,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35217876,"EMEIEF Clara Monzoni Lang, Profa.",352690205000769,753,3559.11,3000,73.4,B,B_SME_SN_CNEFE_ZERO_SAME_STREET_NAMED_SCHOOL
35208395,"EMEIEF Creso Assumpção Coimbra, Prof.",352690205000182,473,2589.96,2000,40.5,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35241878,"EMEIEF Egle Maria Ciarrochi, Profa.",352690205000282,524,3053.71,2000,59.6,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35128016,"EMEIEF Evangelina Mauro, Profa.",352690205000365,672,2719.94,2400,46.5,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35278324,"EMEIEF José Carvalho Ferreira, Dr.",352690205000541,326,2121.94,1550,18.2,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35249841,"EMEIEF José Justino Castilho, Prof.",352690205000423,567,2344.26,2000,29.2,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35074962,"EMEIEF José Paulino Araújo Vargas, Prof.",352690205000200,490,2202.96,2000,21.3,B,B_SME_SN_CNEFE_ZERO_SAME_STREET_NAMED_SCHOOL
35218017,"EMEIEF José Roberto Braz, Prof.",352690205000609,304,2901.25,2500,53.2,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35217897,"EMEIEF Laércio Corte, Deputado",352690205000144,446,2115.83,2000,17.5,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35222112,EMEIEF Limeira,352690205000019,209,3648.2,3000,75.6,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35270830,"EMEIEF Márcia Aparecida Della Coletta Sillmann, Profa.",352690205000327,550,1979.51,1600,12.8,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35222094,"EMEIEF Maria Aparecida de Luca Moore, Profa.",352690205000700,394,2832.73,2200,50.8,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35233122,"EMEIEF Maria Aparecida Degaspare, Profa.",352690205000278,373,2285.42,1850,25.8,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35068299,EMEIEF Maria Aparecida Machado Julianelli,352690205000567,57,1740.24,1212,4.9,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
